ligand,receptor,cell_from_logFC,cell_from_q.value,cell_from,cell_to_logFC,cell_to_q.value,cell_to,comm_type
CCL8,CCR1,2.332371427,0,Macrophages,0.103470431,1,Ciliated,other
CD14,ITGB1,0.992675695,0,Macrophages,-0.197384148,1,Ciliated,other
CD14,ITGB2,0.992675695,0,Macrophages,-0.926322467,5.74E-19,Ciliated,other
CD14,TLR4,0.992675695,0,Macrophages,-0.235743065,0.2239703,Ciliated,other
CD36,TLR4,0.433225711,3.93E-116,Macrophages,-0.235743065,0.2239703,Ciliated,other
CD48,CD2,0.757493274,0,Macrophages,0.465826381,1,Ciliated,other
COL6A3,ITGA2,0.116786596,1,Macrophages,0.323465027,7.13E-08,Ciliated,other
CXCL10,SDC4,2.302593041,0,Macrophages,0.901219995,6.20E-16,Ciliated,other
EFNB1,ERBB2,-0.101656468,2.54E-146,Macrophages,0.468367009,2.04E-08,Ciliated,other
F13A1,ITGB1,0.553370197,0,Macrophages,-0.197384148,1,Ciliated,other
FN1,CD44,0.136130312,7.73E-75,Macrophages,-1.145435953,4.54E-21,Ciliated,other
FN1,ITGA2,0.136130312,7.73E-75,Macrophages,0.323465027,7.13E-08,Ciliated,other
FN1,ITGA3,0.136130312,7.73E-75,Macrophages,0.372366526,2.97E-05,Ciliated,other
FN1,PLAUR,0.136130312,7.73E-75,Macrophages,-1.019563315,1.79E-19,Ciliated,other
GAS6,AXL,0.322866484,4.80E-298,Macrophages,-0.282897024,1,Ciliated,other
GNAI2,ADCY7,0.254396454,2.73E-29,Macrophages,-0.198338268,1,Ciliated,other
GNAI2,C5AR1,0.254396454,2.73E-29,Macrophages,-0.386672327,0.016251025,Ciliated,other
GNAI2,FPR1,0.254396454,2.73E-29,Macrophages,-0.362245519,0.013576543,Ciliated,other
GNAI2,IGF1R,0.254396454,2.73E-29,Macrophages,0.444938746,5.62E-09,Ciliated,other
GNAI2,LPAR3,0.254396454,2.73E-29,Macrophages,0.195933626,1,Ciliated,other
GNAI2,PTPRU,0.254396454,2.73E-29,Macrophages,0.287340455,0.000367958,Ciliated,other
GNAI2,S1PR4,0.254396454,2.73E-29,Macrophages,-0.4858567,5.70E-05,Ciliated,other
GNAI2,UNC5B,0.254396454,2.73E-29,Macrophages,-0.290091402,0.392924889,Ciliated,other
GNAS,ADCY7,-0.220231515,0,Macrophages,-0.198338268,1,Ciliated,other
HBEGF,CD44,-0.248059975,0,Macrophages,-1.145435953,4.54E-21,Ciliated,other
HBEGF,CD82,-0.248059975,0,Macrophages,0.294496868,1,Ciliated,other
HBEGF,CD9,-0.248059975,0,Macrophages,0.182937728,1,Ciliated,other
HBEGF,ERBB2,-0.248059975,0,Macrophages,0.468367009,2.04E-08,Ciliated,other
HLA-A,APLP2,0.506280953,0,Macrophages,-0.399890848,0.008697482,Ciliated,other
HLA-A,ERBB2,0.506280953,0,Macrophages,0.468367009,2.04E-08,Ciliated,other
HLA-A,LILRB1,0.506280953,0,Macrophages,-0.210496382,1,Ciliated,other
HLA-A,LILRB2,0.506280953,0,Macrophages,0.131484291,1,Ciliated,other
HLA-C,DDR1,-0.454043649,0,Macrophages,0.724120103,1.04E-17,Ciliated,other
HLA-C,LILRB1,-0.454043649,0,Macrophages,-0.210496382,1,Ciliated,other
HLA-C,LILRB2,-0.454043649,0,Macrophages,0.131484291,1,Ciliated,other
HP,ASGR1,-1.950434969,0,Macrophages,-0.247077394,1,Ciliated,other
HP,ITGB2,-1.950434969,0,Macrophages,-0.926322467,5.74E-19,Ciliated,other
HSP90AA1,ERBB2,0.692892565,0,Macrophages,0.468367009,2.04E-08,Ciliated,other
HSP90B1,ASGR1,0.297530611,3.41E-08,Macrophages,-0.247077394,1,Ciliated,other
HSP90B1,ERBB2,0.297530611,3.41E-08,Macrophages,0.468367009,2.04E-08,Ciliated,other
HSP90B1,LRP1,0.297530611,3.41E-08,Macrophages,-0.924750868,1.61E-17,Ciliated,other
HSP90B1,TLR4,0.297530611,3.41E-08,Macrophages,-0.235743065,0.2239703,Ciliated,other
HSP90B1,TLR7,0.297530611,3.41E-08,Macrophages,-0.206236737,1,Ciliated,other
HSPA8,LDLR,0.456034372,2.67E-33,Macrophages,0.511554188,1,Ciliated,other
ICAM1,IL2RG,0.567569691,0,Macrophages,-0.185348629,1,Ciliated,other
ICAM1,ITGAL,0.567569691,0,Macrophages,-0.442363695,0.001949167,Ciliated,other
ICAM1,ITGAX,0.567569691,0,Macrophages,-0.374591724,0.003386175,Ciliated,other
ICAM1,ITGB2,0.567569691,0,Macrophages,-0.926322467,5.74E-19,Ciliated,other
ICAM2,ITGAL,0.119696107,1,Macrophages,-0.442363695,0.001949167,Ciliated,other
ICAM2,ITGB2,0.119696107,1,Macrophages,-0.926322467,5.74E-19,Ciliated,other
IL10,IL10RA,0.303323501,0,Macrophages,-0.197788969,1,Ciliated,other
INHBA,ACVR1,-1.288852474,0,Macrophages,0.212270407,1,Ciliated,other
INHBA,ACVR1B,-1.288852474,0,Macrophages,0.159406265,1,Ciliated,other
INHBA,ENG,-1.288852474,0,Macrophages,-0.596484658,2.70E-07,Ciliated,other
INHBA,TGFBR3,-1.288852474,0,Macrophages,0.159192374,0.024366917,Ciliated,other
IRAK4,TLR4,0.233343865,2.73E-25,Macrophages,-0.235743065,0.2239703,Ciliated,other
IRAK4,TLR7,0.233343865,2.73E-25,Macrophages,-0.206236737,1,Ciliated,other
LGALS3BP,ITGB1,-0.519313314,0,Macrophages,-0.197384148,1,Ciliated,other
LGALS3BP,VANGL1,-0.519313314,0,Macrophages,0.20806786,0.085341885,Ciliated,other
LPL,CD44,-0.765380118,0,Macrophages,-1.145435953,4.54E-21,Ciliated,other
LPL,LRP1,-0.765380118,0,Macrophages,-0.924750868,1.61E-17,Ciliated,other
LRPAP1,LDLR,-0.61096315,0,Macrophages,0.511554188,1,Ciliated,other
LRPAP1,LRP1,-0.61096315,0,Macrophages,-0.924750868,1.61E-17,Ciliated,other
LRPAP1,LRP8,-0.61096315,0,Macrophages,0.299471972,0.003032852,Ciliated,other
LRPAP1,SORT1,-0.61096315,0,Macrophages,-0.437526036,2.24E-05,Ciliated,other
LYZ,ITGAL,-1.144968663,0,Macrophages,-0.442363695,0.001949167,Ciliated,other
MDK,ITGB1,0.453475824,8.48E-195,Macrophages,-0.197384148,1,Ciliated,other
MDK,LRP1,0.453475824,8.48E-195,Macrophages,-0.924750868,1.61E-17,Ciliated,other
MDK,SDC4,0.453475824,8.48E-195,Macrophages,0.901219995,6.20E-16,Ciliated,other
MDK,TSPAN1,0.453475824,8.48E-195,Macrophages,2.411961824,1.19E-52,Ciliated,other
NAMPT,INSR,0.366545217,2.31E-19,Macrophages,0.24520817,1,Ciliated,other
P4HB,GPR162,0.197504448,1,Macrophages,1.150230844,1.31E-28,Ciliated,other
PLAU,ITGA3,0.157221242,1,Macrophages,0.372366526,2.97E-05,Ciliated,other
PLAU,ITGB2,0.157221242,1,Macrophages,-0.926322467,5.74E-19,Ciliated,other
PLAU,LRP1,0.157221242,1,Macrophages,-0.924750868,1.61E-17,Ciliated,other
PLAU,PLAUR,0.157221242,1,Macrophages,-1.019563315,1.79E-19,Ciliated,other
PLAU,ST14,0.157221242,1,Macrophages,0.643153576,8.59E-06,Ciliated,other
SEMA4A,PLXNB1,0.312651782,4.21E-189,Macrophages,0.529632755,3.89E-09,Ciliated,other
SEMA4A,PLXNB2,0.312651782,4.21E-189,Macrophages,0.724208339,6.48E-07,Ciliated,other
SEMA4A,PLXND1,0.312651782,4.21E-189,Macrophages,-0.21693137,1,Ciliated,other
PSEN1,CD44,0.129660235,1,Macrophages,-1.145435953,4.54E-21,Ciliated,other
RPS27A,ERBB2,-0.517197979,0,Macrophages,0.468367009,2.04E-08,Ciliated,other
RPS27A,LDLR,-0.517197979,0,Macrophages,0.511554188,1,Ciliated,other
RPS27A,TGFBR2,-0.517197979,0,Macrophages,-0.123779762,1,Ciliated,other
RPS27A,TLR4,-0.517197979,0,Macrophages,-0.235743065,0.2239703,Ciliated,other
RSPO3,SDC4,-0.138890514,1.15E-211,Macrophages,0.901219995,6.20E-16,Ciliated,other
RTN4,TNFRSF19,-0.278929128,0,Macrophages,0.529834422,1.05E-11,Ciliated,other
S100A8,TLR4,2.03028513,0,Macrophages,-0.235743065,0.2239703,Ciliated,other
S100A9,TLR4,1.381482183,0,Macrophages,-0.235743065,0.2239703,Ciliated,other
SELPLG,ITGB2,-0.189110388,1.79E-234,Macrophages,-0.926322467,5.74E-19,Ciliated,other
SEMA4D,ERBB2,0.160914739,1.63E-06,Macrophages,0.468367009,2.04E-08,Ciliated,other
SEMA4D,PLXNB1,0.160914739,1.63E-06,Macrophages,0.529632755,3.89E-09,Ciliated,other
SEMA4D,PLXNB2,0.160914739,1.63E-06,Macrophages,0.724208339,6.48E-07,Ciliated,other
SERPINA1,LRP1,-0.60791936,0,Macrophages,-0.924750868,1.61E-17,Ciliated,other
SERPING1,LRP1,-0.434481949,0,Macrophages,-0.924750868,1.61E-17,Ciliated,other
SPINT1,ST14,-0.125662109,9.17E-145,Macrophages,0.643153576,8.59E-06,Ciliated,other
SPP1,CD44,1.896109537,0,Macrophages,-1.145435953,4.54E-21,Ciliated,other
SPP1,ITGA5,1.896109537,0,Macrophages,-0.213322856,1,Ciliated,other
SPP1,ITGB1,1.896109537,0,Macrophages,-0.197384148,1,Ciliated,other
THBS1,CD36,-0.35913051,0,Macrophages,-0.339735855,0.012998983,Ciliated,other
THBS1,CD47,-0.35913051,0,Macrophages,-0.132279499,1,Ciliated,other
THBS1,ITGA3,-0.35913051,0,Macrophages,0.372366526,2.97E-05,Ciliated,other
THBS1,ITGB1,-0.35913051,0,Macrophages,-0.197384148,1,Ciliated,other
THBS1,LRP1,-0.35913051,0,Macrophages,-0.924750868,1.61E-17,Ciliated,other
THBS1,LRP5,-0.35913051,0,Macrophages,0.153394064,0.024366917,Ciliated,other
THBS1,SDC4,-0.35913051,0,Macrophages,0.901219995,6.20E-16,Ciliated,other
TIMP1,CD63,1.66122735,0,Macrophages,-0.646349085,3.42E-16,Ciliated,other
TNFSF13,FAS,-0.649185509,0,Macrophages,0.186742653,0.075011496,Ciliated,other
TNFSF13,TNFRSF1A,-0.649185509,0,Macrophages,-0.398852421,0.001511235,Ciliated,other
UBB,ERBB2,-0.888728214,0,Macrophages,0.468367009,2.04E-08,Ciliated,other
UBB,LDLR,-0.888728214,0,Macrophages,0.511554188,1,Ciliated,other
UBB,TGFBR2,-0.888728214,0,Macrophages,-0.123779762,1,Ciliated,other
UBB,TLR4,-0.888728214,0,Macrophages,-0.235743065,0.2239703,Ciliated,other
UBC,ERBB2,0.778921739,0,Macrophages,0.468367009,2.04E-08,Ciliated,other
UBC,LDLR,0.778921739,0,Macrophages,0.511554188,1,Ciliated,other
UBC,TGFBR2,0.778921739,0,Macrophages,-0.123779762,1,Ciliated,other
UBC,TLR4,0.778921739,0,Macrophages,-0.235743065,0.2239703,Ciliated,other
VCAN,CD44,1.17234387,0,Macrophages,-1.145435953,4.54E-21,Ciliated,other
VCAN,ITGB1,1.17234387,0,Macrophages,-0.197384148,1,Ciliated,other
VIM,CD44,-0.593550312,0,Macrophages,-1.145435953,4.54E-21,Ciliated,other
LGALS8,ITGA3,0.205767948,4.39E-13,Macrophages,0.372366526,2.97E-05,Ciliated,other
TYROBP,TREM1,-0.23225819,0,Macrophages,-1.657308411,1.34E-34,Ciliated,other
LGALS1,ITGB1,0.570277813,0,Macrophages,-0.197384148,1,Ciliated,other
LGALS1,PTPRC,0.570277813,0,Macrophages,-0.597096405,5.03E-12,Ciliated,other
PECAM1,CD38,-0.457188187,0,Macrophages,0.725015822,1.73E-14,Ciliated,other
MRC1,PTPRC,-0.50410947,0,Macrophages,-0.597096405,5.03E-12,Ciliated,other
DSC2,DSG2,-0.176104736,6.47E-254,Macrophages,0.381299105,3.02E-07,Ciliated,other
LILRB4,LAIR1,1.273368683,0,Macrophages,-0.636529143,9.46E-10,Ciliated,other
ICAM1,SPN,0.567569691,0,Macrophages,-1.047774625,4.05E-20,Ciliated,other
CD99,PILRA,0.263522667,8.36E-27,Macrophages,-1.156968088,5.90E-22,Ciliated,other
ADAM10,AXL,-0.108815053,1,Ciliated,-0.236040645,6.86E-291,Macrophages,other
ADAM15,ITGA5,0.322675861,1,Ciliated,0.451215307,4.73E-107,Macrophages,other
ADAM17,ITGA5,-0.413255145,0.091300177,Ciliated,0.451215307,4.73E-107,Macrophages,other
AGRP,SDC3,-0.787193195,1.15E-09,Ciliated,0.62273371,0,Macrophages,other
ALOX5AP,ALOX5,-2.132353051,1.87E-35,Ciliated,-0.741695243,0,Macrophages,other
ANXA1,DYSF,0.470661473,0.000542068,Ciliated,0.705810319,0,Macrophages,other
ANXA1,FPR1,0.470661473,0.000542068,Ciliated,0.86801153,0,Macrophages,other
ANXA1,FPR2,0.470661473,0.000542068,Ciliated,0.129207633,1,Macrophages,other
ANXA1,FPR3,0.470661473,0.000542068,Ciliated,0.763035958,0,Macrophages,other
APOE,SORL1,-1.893126966,5.23E-31,Ciliated,0.139445275,1,Macrophages,other
APP,CD74,1.252464942,1.10E-26,Ciliated,-1.018967542,0,Macrophages,other
APP,FPR2,1.252464942,1.10E-26,Ciliated,0.129207633,1,Macrophages,other
ARPC5,ADRB2,-0.95043529,1.03E-18,Ciliated,-0.166466443,2.93E-226,Macrophages,other
B2M,LILRB1,-0.101183256,1,Ciliated,0.77863979,0,Macrophages,other
B2M,LILRB2,-0.101183256,1,Ciliated,1.289064282,0,Macrophages,other
B2M,TFRC,-0.101183256,1,Ciliated,-1.154830768,0,Macrophages,other
C1QA,CD93,-2.725993865,7.35E-37,Ciliated,0.358169522,1.53E-278,Macrophages,other
CALM1,ABCA1,1.437697745,3.12E-29,Ciliated,0.645580165,0,Macrophages,other
CALM1,FAS,1.437697745,3.12E-29,Ciliated,0.272300968,1.71E-214,Macrophages,other
CALM1,PDE1B,1.437697745,3.12E-29,Ciliated,-0.154631488,9.63E-195,Macrophages,other
CALM1,SELL,1.437697745,3.12E-29,Ciliated,0.583894701,0,Macrophages,other
CALM2,ABCA1,0.772075769,1.04E-12,Ciliated,0.645580165,0,Macrophages,other
CALM2,PDE1B,0.772075769,1.04E-12,Ciliated,-0.154631488,9.63E-195,Macrophages,other
CALM2,SELL,0.772075769,1.04E-12,Ciliated,0.583894701,0,Macrophages,other
CALM3,ABCA1,0.157461516,1,Ciliated,0.645580165,0,Macrophages,other
CALM3,SELL,0.157461516,1,Ciliated,0.583894701,0,Macrophages,other
CAMP,P2RX7,-0.273136145,1,Ciliated,0.481410286,1.01E-139,Macrophages,other
CCL23,CCR1,-0.213421075,1,Ciliated,1.306045262,0,Macrophages,other
CCL2,CCR1,1.597011686,2.46E-06,Ciliated,1.306045262,0,Macrophages,other
CCL2,CCR5,1.597011686,2.46E-06,Ciliated,0.244063867,3.83E-226,Macrophages,other
CCL4,CCR1,0.437418139,1,Ciliated,1.306045262,0,Macrophages,other
CCL4,CCR5,0.437418139,1,Ciliated,0.244063867,3.83E-226,Macrophages,other
CD36,TLR4,-0.339735855,0.012998983,Ciliated,0.30380965,3.37E-24,Macrophages,other
CD55,ADGRE2,-0.183474215,1,Ciliated,0.2970996,7.95E-141,Macrophages,other
CFH,ITGAM,0.370446261,1.26E-07,Ciliated,0.614091549,0,Macrophages,other
CFH,SELL,0.370446261,1.26E-07,Ciliated,0.583894701,0,Macrophages,other
CGN,F11R,0.801856464,1.04E-17,Ciliated,-0.122124966,1.06E-162,Macrophages,other
COL16A1,ITGB1,0.436104055,0.000367958,Ciliated,-0.138667375,6.35E-177,Macrophages,other
CTGF,ITGA5,1.352081319,9.95E-28,Ciliated,0.451215307,4.73E-107,Macrophages,other
CTGF,ITGAM,1.352081319,9.95E-28,Ciliated,0.614091549,0,Macrophages,other
CTGF,ITGB2,1.352081319,9.95E-28,Ciliated,0.189293563,7.45E-07,Macrophages,other
CXCL10,SDC4,0.518222853,0.006050106,Ciliated,0.254441325,4.66E-55,Macrophages,other
DUSP18,CD151,0.796425211,1.63E-15,Ciliated,-0.433162411,0,Macrophages,other
DUSP18,ITGB1,0.796425211,1.63E-15,Ciliated,-0.138667375,6.35E-177,Macrophages,other
DUSP18,RPSA,0.796425211,1.63E-15,Ciliated,-0.289821948,0,Macrophages,other
FN1,CD44,-1.369768958,4.43E-12,Ciliated,0.139727709,1,Macrophages,other
FN1,ITGA4,-1.369768958,4.43E-12,Ciliated,0.153764885,2.51E-06,Macrophages,other
FN1,ITGA5,-1.369768958,4.43E-12,Ciliated,0.451215307,4.73E-107,Macrophages,other
FN1,ITGAV,-1.369768958,4.43E-12,Ciliated,0.154135673,0.096701544,Macrophages,other
FN1,ITGB1,-1.369768958,4.43E-12,Ciliated,-0.138667375,6.35E-177,Macrophages,other
FN1,ITGB8,-1.369768958,4.43E-12,Ciliated,-0.27075841,0,Macrophages,other
GNAI2,ADCY7,-0.807432168,4.92E-14,Ciliated,0.280544449,1.33E-22,Macrophages,other
GNAI2,CCR5,-0.807432168,4.92E-14,Ciliated,0.244063867,3.83E-226,Macrophages,other
GNAI2,FPR1,-0.807432168,4.92E-14,Ciliated,0.86801153,0,Macrophages,other
GNAI2,S1PR4,-0.807432168,4.92E-14,Ciliated,-0.15818084,2.36E-215,Macrophages,other
GNAI2,UNC5B,-0.807432168,4.92E-14,Ciliated,-0.375401394,0,Macrophages,other
GZMB,CHRM3,0.452680124,0.006050106,Ciliated,-0.17604721,9.57E-268,Macrophages,other
GZMB,IGF2R,0.452680124,0.006050106,Ciliated,0.202482861,1,Macrophages,other
HBEGF,CD82,-0.245722897,1,Ciliated,0.263986225,0.000227863,Macrophages,other
HBEGF,CD9,-0.245722897,1,Ciliated,-1.278448217,0,Macrophages,other
HEBP1,FPR3,-0.400972879,0.013912191,Ciliated,0.763035958,0,Macrophages,other
HLA-B,LILRB1,-0.356337408,4.32E-06,Ciliated,0.77863979,0,Macrophages,other
HLA-B,LILRB2,-0.356337408,4.32E-06,Ciliated,1.289064282,0,Macrophages,other
HLA-C,LILRB1,-0.751832194,8.42E-18,Ciliated,0.77863979,0,Macrophages,other
HLA-C,LILRB2,-0.751832194,8.42E-18,Ciliated,1.289064282,0,Macrophages,other
HLA-G,LILRB1,-0.154124059,1,Ciliated,0.77863979,0,Macrophages,other
HLA-G,LILRB2,-0.154124059,1,Ciliated,1.289064282,0,Macrophages,other
HMGB1,TLR4,0.199183299,1,Ciliated,0.30380965,3.37E-24,Macrophages,other
HP,ASGR1,-2.0462325,4.43E-23,Ciliated,0.309793714,3.88E-29,Macrophages,other
HP,ITGAM,-2.0462325,4.43E-23,Ciliated,0.614091549,0,Macrophages,other
HP,ITGB2,-2.0462325,4.43E-23,Ciliated,0.189293563,7.45E-07,Macrophages,other
HSP90B1,ASGR1,0.48607636,0.00329304,Ciliated,0.309793714,3.88E-29,Macrophages,other
HSP90B1,TLR1,0.48607636,0.00329304,Ciliated,0.331042766,6.75E-93,Macrophages,other
HSP90B1,TLR2,0.48607636,0.00329304,Ciliated,0.852865008,0,Macrophages,other
HSP90B1,TLR4,0.48607636,0.00329304,Ciliated,0.30380965,3.37E-24,Macrophages,other
HSPA1A,TLR4,1.392516709,7.58E-17,Ciliated,0.30380965,3.37E-24,Macrophages,other
HSPA8,ADRB2,0.927570756,4.10E-13,Ciliated,-0.166466443,2.93E-226,Macrophages,other
ICAM1,ITGAM,0.274938578,1,Ciliated,0.614091549,0,Macrophages,other
ICAM2,ITGAM,-0.202693952,1,Ciliated,0.614091549,0,Macrophages,other
IL16,CCR5,0.150730072,1,Ciliated,0.244063867,3.83E-226,Macrophages,other
IL16,KCNA3,0.150730072,1,Ciliated,-0.224679809,0,Macrophages,other
IL18,CD48,-0.33546372,1,Ciliated,0.757493274,0,Macrophages,other
IL18,IL18BP,-0.33546372,1,Ciliated,0.483290369,2.52E-243,Macrophages,other
IL1B,IL1R2,-0.176914264,1,Ciliated,1.553671742,0,Macrophages,other
IL1RN,IL1R2,-0.201708273,1,Ciliated,1.553671742,0,Macrophages,other
IL7,IL7R,0.20624184,1,Ciliated,0.402454622,1.42E-11,Macrophages,other
INHBA,ENG,-1.265182462,2.76E-20,Ciliated,0.420469101,3.30E-40,Macrophages,other
JAG1,NOTCH2,0.184073945,0.088472897,Ciliated,0.206278279,6.61E-05,Macrophages,other
LAMC2,CD151,0.82031142,1.75E-20,Ciliated,-0.433162411,0,Macrophages,other
LAMC2,ITGB1,0.82031142,1.75E-20,Ciliated,-0.138667375,6.35E-177,Macrophages,other
LGALS3BP,ITGB1,-0.708272775,6.88E-12,Ciliated,-0.138667375,6.35E-177,Macrophages,other
LGALS9,HAVCR2,-0.593927087,1.11E-09,Ciliated,0.722253107,0,Macrophages,other
LIN7C,ABCA1,0.126026501,1,Ciliated,0.645580165,0,Macrophages,other
LPL,CD44,-0.782826741,2.98E-12,Ciliated,0.139727709,1,Macrophages,other
LRPAP1,SORL1,-0.762126715,2.55E-13,Ciliated,0.139445275,1,Macrophages,other
LRPAP1,SORT1,-0.762126715,2.55E-13,Ciliated,-0.562961576,0,Macrophages,other
LTB,CD40,0.128747027,1,Ciliated,0.393878095,8.38E-65,Macrophages,other
LTB,LTBR,0.128747027,1,Ciliated,0.362676346,3.76E-48,Macrophages,other
LTB,TNFRSF1A,0.128747027,1,Ciliated,0.271225514,9.65E-06,Macrophages,other
LY86,CD180,-0.51591133,2.31E-06,Ciliated,0.377479955,8.49E-262,Macrophages,other
LYZ,ITGAL,-2.322824253,1.66E-33,Ciliated,-0.131612737,5.53E-181,Macrophages,other
MDK,SDC3,0.506978539,1,Ciliated,0.62273371,0,Macrophages,other
MDK,SDC4,0.506978539,1,Ciliated,0.254441325,4.66E-55,Macrophages,other
MFNG,NOTCH2,-0.285649488,0.144510314,Ciliated,0.206278279,6.61E-05,Macrophages,other
OMG,TNFRSF1B,1.48861855,8.37E-36,Ciliated,0.589524556,3.10E-296,Macrophages,other
PIP,CD4,0.409478002,0.006050106,Ciliated,-0.186385658,4.06E-270,Macrophages,other
PKM,CD44,-0.428801403,4.13E-05,Ciliated,0.139727709,1,Macrophages,other
PLTP,ABCA1,0.705387376,1.41E-08,Ciliated,0.645580165,0,Macrophages,other
PROS1,AXL,0.520439217,1,Ciliated,-0.236040645,6.86E-291,Macrophages,other
PSAP,SORT1,-1.211506774,3.16E-29,Ciliated,-0.562961576,0,Macrophages,other
PSEN1,NOTCH2,-0.118593348,1,Ciliated,0.206278279,6.61E-05,Macrophages,other
PTN,SDC3,0.179539873,0.024366917,Ciliated,0.62273371,0,Macrophages,other
QDPR,DYSF,-0.126337346,1,Ciliated,0.705810319,0,Macrophages,other
RPS27A,ADRB2,-0.541346664,1.38E-17,Ciliated,-0.166466443,2.93E-226,Macrophages,other
RPS27A,TLR4,-0.541346664,1.38E-17,Ciliated,0.30380965,3.37E-24,Macrophages,other
S100A8,TLR4,-0.656542772,0.000467257,Ciliated,0.30380965,3.37E-24,Macrophages,other
S100A9,TLR4,-0.814424231,3.15E-18,Ciliated,0.30380965,3.37E-24,Macrophages,other
SAA1,FPR1,2.15750806,5.58E-16,Ciliated,0.86801153,0,Macrophages,other
SAA1,FPR2,2.15750806,5.58E-16,Ciliated,0.129207633,1,Macrophages,other
SELPLG,ITGAM,-0.593241128,5.54E-09,Ciliated,0.614091549,0,Macrophages,other
SELPLG,ITGB2,-0.593241128,5.54E-09,Ciliated,0.189293563,7.45E-07,Macrophages,other
SELPLG,SELL,-0.593241128,5.54E-09,Ciliated,0.583894701,0,Macrophages,other
SEMA3C,NRP2,0.470295531,0.019325081,Ciliated,0.431990878,1.70E-66,Macrophages,other
SEMA3C,PLXND1,0.470295531,0.019325081,Ciliated,0.40338418,3.80E-93,Macrophages,other
SEMA4D,CD72,-0.124516272,1,Ciliated,0.200163319,1.31E-82,Macrophages,other
SLPI,CD4,3.635925537,2.43E-56,Ciliated,-0.186385658,4.06E-270,Macrophages,other
SPINT1,ST14,0.165079173,1,Ciliated,0.702125539,0,Macrophages,other
SPP1,CD44,0.807149355,0.001495808,Ciliated,0.139727709,1,Macrophages,other
SPP1,ITGA4,0.807149355,0.001495808,Ciliated,0.153764885,2.51E-06,Macrophages,other
SPP1,ITGA5,0.807149355,0.001495808,Ciliated,0.451215307,4.73E-107,Macrophages,other
SPP1,ITGAV,0.807149355,0.001495808,Ciliated,0.154135673,0.096701544,Macrophages,other
SPP1,ITGB1,0.807149355,0.001495808,Ciliated,-0.138667375,6.35E-177,Macrophages,other
SPP1,ITGB5,0.807149355,0.001495808,Ciliated,-0.150009732,1.47E-183,Macrophages,other
TGFB1,ACVRL1,-0.696596272,6.99E-12,Ciliated,-0.101356942,8.02E-150,Macrophages,other
TGFB1,ENG,-0.696596272,6.99E-12,Ciliated,0.420469101,3.30E-40,Macrophages,other
TGFB1,ITGAV,-0.696596272,6.99E-12,Ciliated,0.154135673,0.096701544,Macrophages,other
TGFB1,ITGB1,-0.696596272,6.99E-12,Ciliated,-0.138667375,6.35E-177,Macrophages,other
TGFB1,ITGB5,-0.696596272,6.99E-12,Ciliated,-0.150009732,1.47E-183,Macrophages,other
TGFB1,ITGB8,-0.696596272,6.99E-12,Ciliated,-0.27075841,0,Macrophages,other
THBS1,CD36,-0.525292847,2.60E-06,Ciliated,0.433225711,3.93E-116,Macrophages,other
THBS1,CD47,-0.525292847,2.60E-06,Ciliated,0.457622488,4.96E-113,Macrophages,other
THBS1,ITGA4,-0.525292847,2.60E-06,Ciliated,0.153764885,2.51E-06,Macrophages,other
THBS1,ITGB1,-0.525292847,2.60E-06,Ciliated,-0.138667375,6.35E-177,Macrophages,other
THBS1,SDC4,-0.525292847,2.60E-06,Ciliated,0.254441325,4.66E-55,Macrophages,other
TIMP2,ITGB1,-0.873792356,3.07E-15,Ciliated,-0.138667375,6.35E-177,Macrophages,other
TLN1,ITGB5,-0.408296133,2.22E-06,Ciliated,-0.150009732,1.47E-183,Macrophages,other
TNFSF10,TNFRSF10B,0.651005292,5.75E-05,Ciliated,0.100719365,1,Macrophages,other
TNFSF13,FAS,-1.074036579,2.38E-23,Ciliated,0.272300968,1.71E-214,Macrophages,other
TNFSF13,TNFRSF14,-1.074036579,2.38E-23,Ciliated,0.2901658,3.38E-10,Macrophages,other
TNFSF13,TNFRSF1A,-1.074036579,2.38E-23,Ciliated,0.271225514,9.65E-06,Macrophages,other
UBA52,ADRB2,-0.63480678,2.48E-16,Ciliated,-0.166466443,2.93E-226,Macrophages,other
UBA52,TLR4,-0.63480678,2.48E-16,Ciliated,0.30380965,3.37E-24,Macrophages,other
UBC,ADRB2,0.746094894,2.60E-11,Ciliated,-0.166466443,2.93E-226,Macrophages,other
UBC,TLR4,0.746094894,2.60E-11,Ciliated,0.30380965,3.37E-24,Macrophages,other
VCAN,SELL,0.193507556,1,Ciliated,0.583894701,0,Macrophages,other
VCAN,TLR1,0.193507556,1,Ciliated,0.331042766,6.75E-93,Macrophages,other
VCAN,TLR2,0.193507556,1,Ciliated,0.852865008,0,Macrophages,other
VIM,CD44,-2.258871908,1.60E-37,Ciliated,0.139727709,1,Macrophages,other
TYROBP,TREM1,-2.244469877,1.87E-35,Ciliated,-0.954193863,0,Macrophages,other
SYK,FCGR2A,-0.49354383,2.35E-05,Ciliated,0.269972782,9.75E-13,Macrophages,other
LGALS1,ITGB1,-1.489979294,2.66E-27,Ciliated,-0.138667375,6.35E-177,Macrophages,other
PECAM1,CD38,-1.028327095,3.68E-19,Ciliated,0.771609357,0,Macrophages,other
ICAM1,SPN,0.274938578,1,Ciliated,-0.897856489,0,Macrophages,other
JAG1,CD46,0.184073945,0.088472897,Ciliated,-0.409948059,0,Macrophages,other
