source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,ligand.logFC,ligand.pct.1,ligand.pct.2,ligand.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2,receptor.pvalues
Prolif.T,Macrophages,LTB,CD40,0.001339773,0,2048,LTB - CD40,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,0.393878095,0.295,0.225,4.57E-69
T cells,DC,LTB,CD40,0.00466985,0,2048,LTB - CD40,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,0.186624109,0.404,0.463,0.120232315
Prolif.T,DC,LTB,CD40,0.001561061,0,2048,LTB - CD40,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,0.186624109,0.404,0.463,0.120232315
T cells,Macrophages,LTB,LTBR,0.005254181,0,2049,LTB - LTBR,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,0.362676346,0.38,0.336,2.05E-52
Prolif.T,Macrophages,LTB,LTBR,0.00175708,0,2049,LTB - LTBR,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,0.362676346,0.38,0.336,2.05E-52
T cells,DC,LTB,LTBR,0.003834234,0,2049,LTB - LTBR,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,NA,NA,NA,NA
Prolif.T,DC,LTB,LTBR,0.001281011,0,2049,LTB - LTBR,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,NA,NA,NA,NA
T cells,Aveolar cells,LTB,LTBR,0.004552364,0,2049,LTB - LTBR,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,0.277250624,0.413,0.375,0.651415432
Prolif.T,Aveolar cells,LTB,LTBR,0.001521667,0,2049,LTB - LTBR,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,0.277250624,0.413,0.375,0.651415432
T cells,Macrophages,LTB,TNFRSF1A,0.00624776,0,2050,LTB - TNFRSF1A,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,0.271225514,0.445,0.494,5.26E-10
Prolif.T,Macrophages,LTB,TNFRSF1A,0.002090739,0,2050,LTB - TNFRSF1A,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,0.271225514,0.445,0.494,5.26E-10
T cells,DC,LTB,TNFRSF1A,0.005010782,0,2050,LTB - TNFRSF1A,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,0.120015386,0.442,0.41,0.109865073
Prolif.T,DC,LTB,TNFRSF1A,0.001675411,0,2050,LTB - TNFRSF1A,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,0.120015386,0.442,0.41,0.109865073
T cells,Prolif.T,LTB,TNFRSF1A,0.002802512,0,2050,LTB - TNFRSF1A,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,-0.269122376,0.337,0.562,2.01E-06
Prolif.T,Prolif.T,LTB,TNFRSF1A,0.000935669,0.01,2050,LTB - TNFRSF1A,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,-0.269122376,0.337,0.562,2.01E-06
T cells,Aveolar cells,LTB,TNFRSF1A,0.004562863,0,2050,LTB - TNFRSF1A,other,other,other,Pos,0.387206682,0.48,0.357,4.54E-11,-0.316726683,0.385,0.75,0.068072191
Prolif.T,Aveolar cells,LTB,TNFRSF1A,0.001525187,0,2050,LTB - TNFRSF1A,other,other,other,Pos,0.613121149,0.339,0.138,5.97E-05,-0.316726683,0.385,0.75,0.068072191
Ciliated,T cells,MDK,ITGA4,0.002914477,0,2072,MDK - ITGA4,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.347089606,0.326,0.194,1.89E-14
Ciliated,DC,MDK,ITGA4,0.005092819,0,2072,MDK - ITGA4,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.109853142,0.582,0.517,0.060516145
Ciliated,Prolif.T,MDK,ITGA4,0.005270623,0,2072,MDK - ITGA4,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.795369665,0.69,0.25,1.43E-14
Ciliated,Macrophages,MDK,ITGB1,0.002044752,0,2074,MDK - ITGB1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,-0.138667375,0.401,0.651,3.47E-181
Ciliated,T cells,MDK,ITGB1,0.001990633,0,2074,MDK - ITGB1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,NA,NA,NA,NA
Ciliated,DC,MDK,ITGB1,0.001901085,0,2074,MDK - ITGB1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,-0.213720894,0.496,0.624,4.78E-07
Ciliated,Prolif.T,MDK,ITGB1,0.003876874,0,2074,MDK - ITGB1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,-0.225799727,0.591,0.75,6.44E-05
Ciliated,Ciliated,MDK,ITGB1,0.001720524,0,2074,MDK - ITGB1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,-0.197384148,0.409,0.619,0.003302036
Ciliated,Aveolar cells,MDK,ITGB1,0.005677577,0,2074,MDK - ITGB1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.451650607,0.58,0.375,0.251212292
Ciliated,Macrophages,MDK,LRP1,0.005477126,0,2075,MDK - LRP1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,NA,NA,NA,NA
Ciliated,DC,MDK,LRP1,0.001048412,0,2075,MDK - LRP1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.137098017,0.276,0.198,0.003857379
Ciliated,Aveolar cells,MDK,SDC1,0.00100042,0,2078,MDK - SDC1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.523666232,0.308,0,0.069302698
Ciliated,Macrophages,MDK,SDC3,0.000928462,0,2079,MDK - SDC3,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.62273371,0.255,0.039,0
Ciliated,Ciliated,MDK,SDC4,0.002200167,0,2080,MDK - SDC4,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,0.901219995,0.42,0.027,3.38E-20
Ciliated,Aveolar cells,MDK,SDC4,0.002583941,0,2080,MDK - SDC4,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,1.222165891,0.483,0,0.012514314
Ciliated,Ciliated,MDK,TSPAN1,0.019342288,0,2081,MDK - TSPAN1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,2.411961824,0.898,0.004,6.50E-57
Ciliated,Aveolar cells,MDK,TSPAN1,0.002058903,0,2081,MDK - TSPAN1,other,other,other,Pos,0.506978539,0.284,0.135,0.000460092,1.071589712,0.371,0,0.039291289
DC,Prolif.T,NUCB2,ERAP1,0.000639295,0,2278,NUCB2 - ERAP1,other,other,other,Pos,0.483220632,0.328,0.147,2.14E-12,NA,NA,NA,NA
Ciliated,Prolif.T,NUCB2,ERAP1,0.008020669,0,2278,NUCB2 - ERAP1,other,other,other,Pos,2.132800698,0.886,0.233,1.47E-38,NA,NA,NA,NA
Ciliated,Macrophages,OMG,TNFRSF1B,0.011309492,0,2293,OMG - TNFRSF1B,other,other,other,Pos,1.48861855,0.693,0.013,4.56E-40,0.589524556,0.375,0.187,1.69E-300
Ciliated,T cells,OMG,TNFRSF1B,0.012716395,0,2293,OMG - TNFRSF1B,other,other,other,Pos,1.48861855,0.693,0.013,4.56E-40,0.319551854,0.275,0.16,4.62E-12
Ciliated,DC,OMG,TNFRSF1B,0.009224372,0,2293,OMG - TNFRSF1B,other,other,other,Pos,1.48861855,0.693,0.013,4.56E-40,-0.137869041,0.382,0.429,0.046167628
Ciliated,Prolif.T,OMG,TNFRSF1B,0.025861134,0,2293,OMG - TNFRSF1B,other,other,other,Pos,1.48861855,0.693,0.013,4.56E-40,0.663462179,0.661,0.212,3.99E-14
Macrophages,Macrophages,PLTP,ABCA1,0.001523073,0,2388,PLTP - ABCA1,other,other,other,Pos,1.004971147,0.29,0.065,0,0.645580165,0.292,0.064,0
Ciliated,Macrophages,PLTP,ABCA1,0.001593264,0,2388,PLTP - ABCA1,other,other,other,Pos,0.705387376,0.341,0.045,7.71E-13,0.645580165,0.292,0.064,0
Macrophages,Macrophages,RNASE2,TLR2,0.001433593,0,2587,RNASE2 - TLR2,other,other,other,Pos,0.809275794,0.254,0.007,0,0.852865008,0.409,0.082,0
Macrophages,DC,RNASE2,TLR2,0.001034236,0,2587,RNASE2 - TLR2,other,other,other,Pos,0.809275794,0.254,0.007,0,0.391835583,0.362,0.181,1.14E-11
Prolif.T,Ciliated,RPS27A,ERBB2,0.016735275,0,2591,RPS27A - ERBB2,other,other,other,Pos,0.271557087,0.984,1,3.32E-12,0.468367009,0.273,0.018,1.12E-12
Prolif.T,Aveolar cells,RPS27A,LDLR,0.028721835,0,2593,RPS27A - LDLR,other,other,other,Pos,0.271557087,0.984,1,3.32E-12,0.893353672,0.399,0,0.03003675
Prolif.T,Macrophages,RPS27A,TGFBR2,0.017807247,0,2598,RPS27A - TGFBR2,other,other,other,Pos,0.271557087,0.984,1,3.32E-12,NA,NA,NA,NA
Prolif.T,DC,RPS27A,TGFBR2,0.019781033,0,2598,RPS27A - TGFBR2,other,other,other,Pos,0.271557087,0.984,1,3.32E-12,NA,NA,NA,NA
Prolif.T,Prolif.T,RPS27A,TGFBR2,0.018100186,0.01,2598,RPS27A - TGFBR2,other,other,other,Pos,0.271557087,0.984,1,3.32E-12,0.221162923,0.404,0.4,0.411744747
Prolif.T,Aveolar cells,RPS27A,TGFBR2,0.022055419,0.04,2598,RPS27A - TGFBR2,other,other,other,Pos,0.271557087,0.984,1,3.32E-12,0.332569351,0.399,0.375,0.648490107
Prolif.T,Macrophages,RPS27A,TLR4,0.021195199,0,2599,RPS27A - TLR4,other,other,other,Pos,0.271557087,0.984,1,3.32E-12,0.30380965,0.311,0.275,1.84E-28
Macrophages,Macrophages,S100A8,TLR4,0.015882653,0,2626,S100A8 - TLR4,other,other,other,Pos,2.03028513,0.758,0.536,0,0.30380965,0.311,0.275,1.84E-28
DC,Macrophages,S100A8,TLR4,0.002082852,0,2626,S100A8 - TLR4,other,other,other,Pos,1.392842237,0.34,0.158,1.57E-12,0.30380965,0.311,0.275,1.84E-28
Macrophages,Macrophages,S100A9,TLR4,0.016699476,0,2627,S100A9 - TLR4,other,other,other,Pos,1.381482183,0.843,0.825,0,0.30380965,0.311,0.275,1.84E-28
DC,Macrophages,S100A9,TLR4,0.002945911,0,2627,S100A9 - TLR4,other,other,other,Pos,1.252439942,0.439,0.215,6.99E-17,0.30380965,0.311,0.275,1.84E-28
Ciliated,Macrophages,SAA1,FPR1,0.011357725,0,2629,SAA1 - FPR1,other,other,other,Pos,2.15750806,0.364,0.004,3.04E-20,0.86801153,0.591,0.482,0
Ciliated,DC,SAA1,FPR1,0.0039318,0,2629,SAA1 - FPR1,other,other,other,Pos,2.15750806,0.364,0.004,3.04E-20,0.322332421,0.438,0.429,0.027923742
Ciliated,Macrophages,SEMA3C,NRP2,0.001396671,0,2665,SEMA3C - NRP2,other,other,other,Pos,0.470295531,0.307,0.099,1.05E-06,0.431990878,0.276,0.202,9.27E-71
Ciliated,Ciliated,SEMA3C,NRP2,0.001582977,0,2665,SEMA3C - NRP2,other,other,other,Pos,0.470295531,0.307,0.099,1.05E-06,0.218540309,0.284,0.184,0.019228819
Ciliated,Macrophages,SEMA3C,PLXND1,0.000784414,0,2666,SEMA3C - PLXND1,other,other,other,Pos,0.470295531,0.307,0.099,1.05E-06,0.40338418,0.252,0.159,2.07E-97
Prolif.T,Ciliated,SEMA4D,ERBB2,0.000862732,0,2679,SEMA4D - ERBB2,other,other,other,Pos,0.381745681,0.397,0.088,9.69E-08,0.468367009,0.273,0.018,1.12E-12
Prolif.T,Aveolar cells,SEMA4D,MET,0.001405772,0,2680,SEMA4D - MET,other,other,other,Pos,0.381745681,0.397,0.088,9.69E-08,0.818103854,0.441,0,0.019656874
Prolif.T,Ciliated,SEMA4D,PLXNB2,0.001846499,0,2682,SEMA4D - PLXNB2,other,other,other,Pos,0.381745681,0.397,0.088,9.69E-08,0.724208339,0.489,0.175,3.53E-11
Prolif.T,Aveolar cells,SEMA4D,PLXNB2,0.001198134,0,2682,SEMA4D - PLXNB2,other,other,other,Pos,0.381745681,0.397,0.088,9.69E-08,0.113587581,0.364,0.25,0.716319493
DC,Macrophages,SERPING1,LRP1,0.009302836,0,2707,SERPING1 - LRP1,other,other,other,Pos,0.524658948,0.496,0.184,7.28E-23,NA,NA,NA,NA
Ciliated,DC,SLPI,CD4,0.026958019,0,2742,SLPI - CD4,other,other,other,Pos,3.635925537,0.932,0.004,1.33E-60,0.117886258,0.381,0.415,0.80341348
Aveolar cells,DC,SLPI,CD4,0.012893456,0,2742,SLPI - CD4,other,other,other,Pos,4.267753668,0.573,0,0.004230029,0.117886258,0.381,0.415,0.80341348
Ciliated,Prolif.T,SLPI,CD4,0.021546488,0,2742,SLPI - CD4,other,other,other,Pos,3.635925537,0.932,0.004,1.33E-60,NA,NA,NA,NA
Aveolar cells,Prolif.T,SLPI,CD4,0.01027542,0,2742,SLPI - CD4,other,other,other,Pos,4.267753668,0.573,0,0.004230029,NA,NA,NA,NA
Macrophages,Macrophages,SPP1,CD44,0.013152377,0,2753,SPP1 - CD44,other,other,other,Pos,1.896109537,0.292,0.008,0,0.139727709,0.746,0.869,0.001384938
Macrophages,T cells,SPP1,CD44,0.011312787,0,2753,SPP1 - CD44,other,other,other,Pos,1.896109537,0.292,0.008,0,NA,NA,NA,NA
Macrophages,DC,SPP1,CD44,0.007253138,0,2753,SPP1 - CD44,other,other,other,Pos,1.896109537,0.292,0.008,0,-0.488779985,0.562,0.836,5.04E-25
Macrophages,Prolif.T,SPP1,CD44,0.009715755,0,2753,SPP1 - CD44,other,other,other,Pos,1.896109537,0.292,0.008,0,-0.379262167,0.793,0.95,1.99E-09
Macrophages,Aveolar cells,SPP1,CD44,0.002793279,0,2753,SPP1 - CD44,other,other,other,Pos,1.896109537,0.292,0.008,0,-0.545412781,0.448,1,0.00319694
Macrophages,T cells,SPP1,ITGA4,0.003959655,0,2754,SPP1 - ITGA4,other,other,other,Pos,1.896109537,0.292,0.008,0,0.347089606,0.326,0.194,1.89E-14
Macrophages,DC,SPP1,ITGA4,0.006913769,0,2754,SPP1 - ITGA4,other,other,other,Pos,1.896109537,0.292,0.008,0,0.109853142,0.582,0.517,0.060516145
Macrophages,Prolif.T,SPP1,ITGA4,0.00715469,0,2754,SPP1 - ITGA4,other,other,other,Pos,1.896109537,0.292,0.008,0,0.795369665,0.69,0.25,1.43E-14
Macrophages,Macrophages,SPP1,ITGA5,0.002564185,0,2755,SPP1 - ITGA5,other,other,other,Pos,1.896109537,0.292,0.008,0,0.451215307,0.364,0.27,2.58E-111
Macrophages,Macrophages,SPP1,ITGB1,0.002778903,0,2758,SPP1 - ITGB1,other,other,other,Pos,1.896109537,0.292,0.008,0,-0.138667375,0.401,0.651,3.47E-181
Macrophages,T cells,SPP1,ITGB1,0.002705404,0,2758,SPP1 - ITGB1,other,other,other,Pos,1.896109537,0.292,0.008,0,NA,NA,NA,NA
Macrophages,DC,SPP1,ITGB1,0.002583787,0,2758,SPP1 - ITGB1,other,other,other,Pos,1.896109537,0.292,0.008,0,-0.213720894,0.496,0.624,4.78E-07
Macrophages,Prolif.T,SPP1,ITGB1,0.005265361,0,2758,SPP1 - ITGB1,other,other,other,Pos,1.896109537,0.292,0.008,0,-0.225799727,0.591,0.75,6.44E-05
Macrophages,Ciliated,SPP1,ITGB1,0.002338536,0,2758,SPP1 - ITGB1,other,other,other,Pos,1.896109537,0.292,0.008,0,-0.197384148,0.409,0.619,0.003302036
Macrophages,Aveolar cells,SPP1,ITGB1,0.00770599,0,2758,SPP1 - ITGB1,other,other,other,Pos,1.896109537,0.292,0.008,0,0.451650607,0.58,0.375,0.251212292
T cells,DC,SPTAN1,PTPRA,0.000684814,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.214396531,0.251,0.162,8.33E-08,NA,NA,NA,NA
Prolif.T,DC,SPTAN1,PTPRA,0.002247363,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.337078701,0.589,0.412,0.000877497,NA,NA,NA,NA
Ciliated,DC,SPTAN1,PTPRA,0.001145032,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.510673659,0.42,0.224,3.46E-05,NA,NA,NA,NA
T cells,Prolif.T,SPTAN1,PTPRA,0.000753207,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.214396531,0.251,0.162,8.33E-08,NA,NA,NA,NA
Prolif.T,Prolif.T,SPTAN1,PTPRA,0.002471422,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.337078701,0.589,0.412,0.000877497,NA,NA,NA,NA
Ciliated,Prolif.T,SPTAN1,PTPRA,0.001259328,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.510673659,0.42,0.224,3.46E-05,NA,NA,NA,NA
T cells,Ciliated,SPTAN1,PTPRA,0.000769286,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.214396531,0.251,0.162,8.33E-08,NA,NA,NA,NA
Prolif.T,Ciliated,SPTAN1,PTPRA,0.002524089,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.337078701,0.589,0.412,0.000877497,NA,NA,NA,NA
Ciliated,Ciliated,SPTAN1,PTPRA,0.001286198,0.01,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.510673659,0.42,0.224,3.46E-05,NA,NA,NA,NA
T cells,Aveolar cells,SPTAN1,PTPRA,0.000200652,0.03,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.214396531,0.251,0.162,8.33E-08,-0.13659317,0.252,0.375,0.405756311
Prolif.T,Aveolar cells,SPTAN1,PTPRA,0.000659211,0,2762,SPTAN1 - PTPRA,other,other,other,Pos,0.337078701,0.589,0.412,0.000877497,-0.13659317,0.252,0.375,0.405756311
Ciliated,Ciliated,TCTN1,TMEM67,0.012100693,0,2784,TCTN1 - TMEM67,other,other,other,Pos,1.410410179,0.727,0.099,1.47E-33,0.819696377,0.455,0.04,2.15E-20
Macrophages,Macrophages,TIMP1,CD63,0.176327475,0,2869,TIMP1 - CD63,other,other,other,Pos,1.66122735,0.878,0.684,0,0.138255171,0.896,0.99,3.73E-21
Macrophages,DC,TIMP1,CD63,0.139576232,0,2869,TIMP1 - CD63,other,other,other,Pos,1.66122735,0.878,0.684,0,0.173155184,0.823,0.884,0.393542484
Macrophages,Ciliated,TIMP1,CD63,0.113583661,0,2869,TIMP1 - CD63,other,other,other,Pos,1.66122735,0.878,0.684,0,-0.646349085,0.83,0.996,1.86E-20
Macrophages,Aveolar cells,TIMP1,CD63,0.167500696,0,2869,TIMP1 - CD63,other,other,other,Pos,1.66122735,0.878,0.684,0,0.362183134,0.888,1,0.217070989
Macrophages,Aveolar cells,TNFSF10,TNFRSF10B,0.003641536,0,2893,TNFSF10 - TNFRSF10B,other,other,other,Pos,1.483508134,0.51,0.181,0,NA,NA,NA,NA
T cells,Aveolar cells,TNFSF10,TNFRSF10B,0.001726374,0,2893,TNFSF10 - TNFRSF10B,other,other,other,Pos,0.66738499,0.329,0.121,3.49E-35,NA,NA,NA,NA
DC,Aveolar cells,TNFSF10,TNFRSF10B,0.004085528,0,2893,TNFSF10 - TNFRSF10B,other,other,other,Pos,1.111630635,0.621,0.274,6.15E-35,NA,NA,NA,NA
Prolif.T,Aveolar cells,TNFSF10,TNFRSF10B,0.005012658,0,2893,TNFSF10 - TNFRSF10B,other,other,other,Pos,0.877455672,0.788,0.388,9.65E-19,NA,NA,NA,NA
Ciliated,Aveolar cells,TNFSF10,TNFRSF10B,0.001197784,0,2893,TNFSF10 - TNFRSF10B,other,other,other,Pos,0.651005292,0.409,0.13,3.14E-09,NA,NA,NA,NA
Macrophages,Ciliated,UBC,ERBB2,0.012879242,0,2981,UBC - ERBB2,other,other,other,Pos,0.778921739,0.911,0.922,0,0.468367009,0.273,0.018,1.12E-12
Prolif.T,Ciliated,UBC,ERBB2,0.012832514,0,2981,UBC - ERBB2,other,other,other,Pos,0.770458193,0.979,0.938,5.29E-22,0.468367009,0.273,0.018,1.12E-12
Ciliated,Ciliated,UBC,ERBB2,0.012087198,0,2981,UBC - ERBB2,other,other,other,Pos,0.746094894,0.943,0.933,1.42E-15,0.468367009,0.273,0.018,1.12E-12
Macrophages,Aveolar cells,UBC,LDLR,0.022166199,0,2983,UBC - LDLR,other,other,other,Pos,0.778921739,0.911,0.922,0,0.893353672,0.399,0,0.03003675
Prolif.T,Aveolar cells,UBC,LDLR,0.02208653,0,2983,UBC - LDLR,other,other,other,Pos,0.770458193,0.979,0.938,5.29E-22,0.893353672,0.399,0,0.03003675
Ciliated,Aveolar cells,UBC,LDLR,0.020815071,0,2983,UBC - LDLR,other,other,other,Pos,0.746094894,0.943,0.933,1.42E-15,0.893353672,0.399,0,0.03003675
Macrophages,Macrophages,UBC,TGFBR2,0.01370766,0,2988,UBC - TGFBR2,other,other,other,Pos,0.778921739,0.911,0.922,0,NA,NA,NA,NA
Prolif.T,Macrophages,UBC,TGFBR2,0.013657968,0,2988,UBC - TGFBR2,other,other,other,Pos,0.770458193,0.979,0.938,5.29E-22,NA,NA,NA,NA
Macrophages,Macrophages,UBC,TLR4,0.016328604,0,2989,UBC - TLR4,other,other,other,Pos,0.778921739,0.911,0.922,0,0.30380965,0.311,0.275,1.84E-28
Prolif.T,Macrophages,UBC,TLR4,0.016269567,0,2989,UBC - TLR4,other,other,other,Pos,0.770458193,0.979,0.938,5.29E-22,0.30380965,0.311,0.275,1.84E-28
Ciliated,Macrophages,UBC,TLR4,0.015327726,0,2989,UBC - TLR4,other,other,other,Pos,0.746094894,0.943,0.933,1.42E-15,0.30380965,0.311,0.275,1.84E-28
Macrophages,Macrophages,VCAN,CD44,0.01892354,0,3008,VCAN - CD44,other,other,other,Pos,1.17234387,0.455,0.167,0,0.139727709,0.746,0.869,0.001384938
Macrophages,T cells,VCAN,CD44,0.016290076,0,3008,VCAN - CD44,other,other,other,Pos,1.17234387,0.455,0.167,0,NA,NA,NA,NA
Macrophages,DC,VCAN,CD44,0.010463206,0,3008,VCAN - CD44,other,other,other,Pos,1.17234387,0.455,0.167,0,-0.488779985,0.562,0.836,5.04E-25
Macrophages,Prolif.T,VCAN,CD44,0.014000348,0,3008,VCAN - CD44,other,other,other,Pos,1.17234387,0.455,0.167,0,-0.379262167,0.793,0.95,1.99E-09
Macrophages,Aveolar cells,VCAN,EGFR,0.00056549,0,3009,VCAN - EGFR,other,other,other,Pos,1.17234387,0.455,0.167,0,0.496472499,0.252,0,0.110612294
DC,Aveolar cells,VCAN,EGFR,0.000240919,0,3009,VCAN - EGFR,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,0.496472499,0.252,0,0.110612294
Macrophages,T cells,VCAN,ITGA4,0.005720503,0,3010,VCAN - ITGA4,other,other,other,Pos,1.17234387,0.455,0.167,0,0.347089606,0.326,0.194,1.89E-14
DC,T cells,VCAN,ITGA4,0.002444379,0,3010,VCAN - ITGA4,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,0.347089606,0.326,0.194,1.89E-14
Macrophages,DC,VCAN,ITGA4,0.009975148,0,3010,VCAN - ITGA4,other,other,other,Pos,1.17234387,0.455,0.167,0,0.109853142,0.582,0.517,0.060516145
DC,DC,VCAN,ITGA4,0.004272867,0,3010,VCAN - ITGA4,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,0.109853142,0.582,0.517,0.060516145
Macrophages,Prolif.T,VCAN,ITGA4,0.01032164,0,3010,VCAN - ITGA4,other,other,other,Pos,1.17234387,0.455,0.167,0,0.795369665,0.69,0.25,1.43E-14
DC,Prolif.T,VCAN,ITGA4,0.004422171,0,3010,VCAN - ITGA4,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,0.795369665,0.69,0.25,1.43E-14
Macrophages,Macrophages,VCAN,ITGB1,0.004016791,0,3011,VCAN - ITGB1,other,other,other,Pos,1.17234387,0.455,0.167,0,-0.138667375,0.401,0.651,3.47E-181
Macrophages,T cells,VCAN,ITGB1,0.003910681,0,3011,VCAN - ITGB1,other,other,other,Pos,1.17234387,0.455,0.167,0,NA,NA,NA,NA
Macrophages,DC,VCAN,ITGB1,0.003735085,0,3011,VCAN - ITGB1,other,other,other,Pos,1.17234387,0.455,0.167,0,-0.213720894,0.496,0.624,4.78E-07
Macrophages,Prolif.T,VCAN,ITGB1,0.007602422,0,3011,VCAN - ITGB1,other,other,other,Pos,1.17234387,0.455,0.167,0,-0.225799727,0.591,0.75,6.44E-05
DC,Prolif.T,VCAN,ITGB1,0.003252051,0,3011,VCAN - ITGB1,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,-0.225799727,0.591,0.75,6.44E-05
Macrophages,Ciliated,VCAN,ITGB1,0.003380924,0.02,3011,VCAN - ITGB1,other,other,other,Pos,1.17234387,0.455,0.167,0,-0.197384148,0.409,0.619,0.003302036
Macrophages,Aveolar cells,VCAN,ITGB1,0.011114234,0,3011,VCAN - ITGB1,other,other,other,Pos,1.17234387,0.455,0.167,0,0.451650607,0.58,0.375,0.251212292
DC,Aveolar cells,VCAN,ITGB1,0.004763929,0,3011,VCAN - ITGB1,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,0.451650607,0.58,0.375,0.251212292
Macrophages,T cells,VCAN,SELL,0.004030131,0,3012,VCAN - SELL,other,other,other,Pos,1.17234387,0.455,0.167,0,1.124096553,0.257,0.02,2.77E-59
DC,T cells,VCAN,SELL,0.001720406,0,3012,VCAN - SELL,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,1.124096553,0.257,0.02,2.77E-59
Macrophages,DC,VCAN,SELL,0.004801387,0,3012,VCAN - SELL,other,other,other,Pos,1.17234387,0.455,0.167,0,0.85925678,0.444,0.11,2.88E-29
DC,DC,VCAN,SELL,0.002050554,0,3012,VCAN - SELL,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,0.85925678,0.444,0.11,2.88E-29
Macrophages,Prolif.T,VCAN,SELL,0.020854415,0,3012,VCAN - SELL,other,other,other,Pos,1.17234387,0.455,0.167,0,1.574796885,0.813,0.05,6.50E-32
DC,Prolif.T,VCAN,SELL,0.008989483,0,3012,VCAN - SELL,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,1.574796885,0.813,0.05,6.50E-32
Macrophages,DC,VCAN,TLR1,0.001573031,0,3014,VCAN - TLR1,other,other,other,Pos,1.17234387,0.455,0.167,0,NA,NA,NA,NA
DC,DC,VCAN,TLR1,0.000670557,0,3014,VCAN - TLR1,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,NA,NA,NA,NA
Macrophages,Macrophages,VCAN,TLR2,0.004494231,0,3015,VCAN - TLR2,other,other,other,Pos,1.17234387,0.455,0.167,0,0.852865008,0.409,0.082,0
DC,Macrophages,VCAN,TLR2,0.001919036,0,3015,VCAN - TLR2,other,other,other,Pos,0.545262798,0.29,0.116,9.84E-12,0.852865008,0.409,0.082,0
Macrophages,DC,VCAN,TLR2,0.003245041,0,3015,VCAN - TLR2,other,other,other,Pos,1.17234387,0.455,0.167,0,0.391835583,0.362,0.181,1.14E-11
T cells,DC,FYN,SPN,0.00176489,0,3162,FYN - SPN,other,other,other,Pos,0.261955955,0.28,0.175,1.06E-09,-0.130188099,0.287,0.41,5.13E-05
Prolif.T,DC,FYN,SPN,0.002565079,0,3162,FYN - SPN,other,other,other,Pos,0.666903569,0.564,0.075,4.71E-15,-0.130188099,0.287,0.41,5.13E-05
T cells,Prolif.T,FYN,SPN,0.005512159,0,3162,FYN - SPN,other,other,other,Pos,0.261955955,0.28,0.175,1.06E-09,-0.244913245,0.602,0.738,0.000407677
